,Season,Pos,Age,G,GS,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,Major Injury,Minor Injury Count,Previous Major Injury Count
18325,0,13,37,7,0,18.7,0.1657754010695187,0.364,0.160427807486631,0.333,0.1764705882352941,0.783,0.0320855614973262,0.1550802139037433,0.2459893048128342,0.0320855614973262,0.0481283422459893,0.106951871657754,0.1443850267379679,0,0.0,0.0
18326,0,3,33,10,0,17.8,0.146067415730337,0.462,0.196629213483146,0.314,0.0730337078651685,0.769,0.0730337078651685,0.2359550561797752,0.0449438202247191,0.0112359550561797,0.0561797752808988,0.0786516853932584,0.1179775280898876,0,0.0,1.0
18327,0,13,26,4,4,35.8,0.223463687150838,0.406,0.217877094972067,0.484,0.0418994413407821,0.833,0.0139664804469273,0.0502793296089385,0.106145251396648,0.0139664804469273,0.0139664804469273,0.0698324022346368,0.0782122905027933,0,0.0,3.0
18328,0,0,30,10,10,30.7,0.0,0.0,0.2801302931596091,0.628,0.0781758957654723,0.667,0.0879478827361563,0.1986970684039088,0.0716612377850162,0.019543973941368,0.0358306188925081,0.0521172638436482,0.0944625407166123,0,0.0,1.0
18329,0,13,27,7,7,29.1,0.1958762886597938,0.3,0.1030927835051546,0.429,0.0309278350515463,0.667,0.0343642611683848,0.0721649484536082,0.0721649484536082,0.0343642611683848,0.0343642611683848,0.0240549828178694,0.0584192439862542,0,0.0,0.0
18330,0,3,24,21,21,37.3,0.1152815013404825,0.264,0.1903485254691689,0.51,0.1099195710455764,0.736,0.0589812332439678,0.2117962466487936,0.1394101876675603,0.0482573726541555,0.032171581769437,0.0750670241286863,0.1126005361930295,0,0.0,0.0
18331,0,3,24,5,0,1.6,0.125,0.0,0.125,0.0,0.25,1.0,0.0,0.3749999999999999,0.0,0.125,0.125,0.0,0.125,0,0.0,0.0
18332,0,9,28,11,2,27.1,0.059040590405904,0.222,0.3025830258302582,0.356,0.088560885608856,0.846,0.029520295202952,0.1439114391143911,0.062730627306273,0.018450184501845,0.018450184501845,0.055350553505535,0.059040590405904,0,0.0,0.0
18333,0,3,25,14,14,39.8,0.0125628140703517,0.143,0.4798994974874372,0.521,0.1909547738693467,0.717,0.0678391959798995,0.2512562814070352,0.1532663316582914,0.0251256281407035,0.0251256281407035,0.0804020100502512,0.0778894472361809,0,0.0,1.0
18334,0,6,26,1,0,12.0,0.0,0.0,0.1666666666666666,0.5,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0,0.0,0.0
18335,0,3,29,4,2,12.0,0.0,0.0,0.1083333333333333,0.2,0.0833333333333333,0.75,0.0249999999999999,0.1083333333333333,0.0666666666666666,0.0416666666666666,0.0249999999999999,0.0416666666666666,0.1666666666666666,0,0.0,0.0
18336,0,13,25,17,17,37.4,0.1684491978609625,0.383,0.2941176470588235,0.471,0.2807486631016043,0.916,0.0187165775401069,0.1336898395721925,0.2005347593582887,0.0427807486631016,0.0106951871657754,0.1203208556149732,0.0775401069518716,0,0.0,2.0
18337,0,6,31,4,0,18.5,0.1513513513513513,0.0,0.1621621621621621,0.667,0.1243243243243243,0.889,0.0162162162162162,0.0972972972972973,0.054054054054054,0.027027027027027,0.0,0.054054054054054,0.1351351351351351,0,1.0,1.0
18338,0,13,23,6,0,2.7,0.1851851851851851,0.333,0.1851851851851851,0.333,0.2592592592592592,0.75,0.0,0.074074074074074,0.074074074074074,0.0,0.0,0.074074074074074,0.074074074074074,0,1.0,0.0
18339,0,3,26,8,0,7.1,0.1126760563380281,0.5,0.1971830985915492,0.545,0.0422535211267605,1.0,0.056338028169014,0.1830985915492957,0.0845070422535211,0.0422535211267605,0.056338028169014,0.0140845070422535,0.2112676056338028,0,0.0,0.0
18340,0,0,35,1,0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0
18341,0,0,24,6,0,25.5,0.0078431372549019,0.0,0.2627450980392157,0.6,0.0901960784313725,0.357,0.1372549019607843,0.1764705882352941,0.0274509803921568,0.0313725490196078,0.0666666666666666,0.0705882352941176,0.0901960784313725,0,0.0,0.0
18342,0,3,32,10,10,25.7,0.0,0.0,0.2957198443579766,0.447,0.0894941634241245,0.478,0.0972762645914396,0.159533073929961,0.0583657587548638,0.0350194552529182,0.0116731517509727,0.0544747081712062,0.1245136186770428,0,0.0,0.0
18343,0,13,34,10,0,12.6,0.0793650793650793,0.6,0.0714285714285714,0.333,0.0238095238095238,0.667,0.0,0.0396825396825396,0.0873015873015873,0.0238095238095238,0.0079365079365079,0.0079365079365079,0.1111111111111111,0,1.0,3.0
18344,0,6,24,3,0,18.3,0.0710382513661202,0.25,0.2732240437158469,0.4,0.0710382513661202,1.0,0.0382513661202185,0.0163934426229508,0.2349726775956284,0.0382513661202185,0.0163934426229508,0.0928961748633879,0.0546448087431694,0,0.0,2.0
18345,0,13,25,5,0,2.2,0.0909090909090909,1.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0,0.0,0.1818181818181818,0.0909090909090909,0,0.0,0.0
