,Date,Team,Acquired,Relinquished,Notes
2611,2021-03-29,Pelicans,Jaxson Hayes,,activated from IL
2612,2021-03-29,Pistons,Hamidou Diallo,,activated from IL
2613,2021-03-29,Raptors,Kyle Lowry,,activated from IL
2614,2021-03-29,Rockets,Avery Bradley,,activated from IL
2615,2021-03-29,Spurs,,Lonnie Walker IV,placed on IL with right wrist injury
2616,2021-03-29,Thunder,Tony Bradley,,activated from IL
2617,2021-03-29,Warriors,,Eric Paschall,placed on IL with sore left wrist
2618,2021-03-29,Warriors,Stephen Curry,,activated from IL
2619,2021-03-29,Wizards,,Bradley Beal,placed on IL with bruised right hip
2620,2021-03-29,Rockets,,Christian Wood,placed on IL with illness
2621,2021-03-29,Spurs,,Gorgui Dieng,placed on IL
2622,2021-03-30,76ers,Ignas Brazdeikis / Iggy Brazdeikis,,activated from IL
2623,2021-03-30,Clippers,,Paul George,placed on IL with sore right foot
2624,2021-03-30,Hawks,Louis Williams / Lou Williams,,activated from IL
2625,2021-03-30,Magic,Terrence Ross,,activated from IL
2626,2021-03-30,Nuggets,Gary Clark Jr.,,activated from IL
2627,2021-03-30,Nuggets,Greg Whittington,,activated from IL
2628,2021-03-30,Spurs,,Trey Lyles,placed on IL with sprained right ankle (out for season)
2629,2021-03-30,Suns,,Frank Kaminsky,placed on IL with NBA health and safety protocols
2630,2021-03-30,Wizards,,Daniel Gafford,placed on IL with sprained right ankle
2631,2021-03-30,Wizards,,Raulzinho Neto / Raul Neto,placed on IL with rib injury
2632,2021-03-31,Blazers,,Keljin Blevins,placed on IL
2633,2021-03-31,Bulls,,Garrett Temple,placed on IL with strained right hamstring
2634,2021-03-31,Bulls,,Zach LaVine,placed on IL with sprained right ankle
2635,2021-03-31,Celtics,Jaylen Brown,,activated from IL
2636,2021-03-31,Grizzlies,,Grayson Allen,placed on IL with sore left hip
2637,2021-03-31,Hawks,,John Collins (Martin),placed on IL with sprained left ankle
2638,2021-03-31,Kings,Jahmi'us Ramsey,,activated from IL
2639,2021-03-31,Knicks,,Derrick Rose,placed on IL with sore left ankle
2640,2021-03-31,Pacers,,Jeremy Lamb,placed on IL with toe injury
2641,2021-03-31,Pacers,Doug McDermott,,activated from IL
2642,2021-03-31,Pistons,,Sekou Doumbouya,placed on IL with migraine headache
2643,2021-03-31,Rockets,,John Wall (Hildred),placed on IL with left knee injury
2644,2021-03-31,Rockets,Christian Wood,,activated from IL
2645,2021-03-31,Spurs,Gorgui Dieng,,activated from IL
2646,2021-03-31,Thunder,,Aleksej Pokusevski,placed on IL with NBA health and safety protocols
2647,2021-04-01,Bucks,Rodions Kurucs,,activated from IL
2648,2021-04-01,Cavaliers,Kevin Love,,activated from IL
2649,2021-04-01,Cavaliers,Matthew Dellavedova,,activated from IL
2650,2021-04-01,Clippers,,Patrick Beverley,placed on IL with sore right knee
2651,2021-04-01,Clippers,Paul George,,activated from IL
2652,2021-04-01,Heat,,Goran Dragic,placed on IL with lower back spasms
2653,2021-04-01,Heat,Victor Oladipo,,activated from IL
2654,2021-04-01,Lakers,,Andre Drummond,placed on IL with right big toe injury
2655,2021-04-01,Nets,,Blake Griffin,placed on IL with left knee injury
2656,2021-04-01,Nets,,James Harden,placed on IL with right hamstring injury
2657,2021-04-01,Nets,LaMarcus Aldridge,,activated from IL
2658,2021-04-01,Nets,Landry Shamet,,activated from IL
2659,2021-04-01,Pelicans,,Brandon Ingram,placed on IL with right toe inflammation
2660,2021-04-01,Pelicans,,Zion Williamson,placed on IL with sprained right thumb
2661,2021-04-01,Pistons,,Hamidou Diallo,placed on IL with right groin injury
2662,2021-04-01,Pistons,Dennis Smith Jr.,,activated from IL
2663,2021-04-01,Pistons,Sekou Doumbouya,,activated from IL
2664,2021-04-01,Raptors,DeAndre' Bembry / DeAndre Bembry,,activated from IL
2665,2021-04-01,Spurs,,Gorgui Dieng,placed on IL with sprained right shoulder
2666,2021-04-01,Thunder,Aleksej Pokusevski,,activated from IL
2667,2021-04-01,Wizards,Raulzinho Neto / Raul Neto,,activated from IL
2668,2021-04-02,Blazers,Keljin Blevins,,activated from IL
2669,2021-04-02,Bucks,Bobby Portis,,activated from IL
2670,2021-04-02,Bulls,Coby White,,activated from IL
2671,2021-04-02,Bulls,Zach LaVine,,activated from IL
2672,2021-04-02,Grizzlies,Grayson Allen,,activated from IL
2673,2021-04-02,Hawks,,Trae Young,placed on IL with sore left knee
2674,2021-04-02,Heat,Goran Dragic,,activated from IL
2675,2021-04-02,Hornets,,Malik Monk,placed on IL with sore right foot / sprained right ankle
2676,2021-04-02,Knicks,Derrick Rose,,activated from IL
2677,2021-04-02,Pelicans,,Josh Hart,placed on IL with right thumb injury (out for season)
2678,2021-04-02,Pistons,Hamidou Diallo,,activated from IL
2679,2021-04-02,Pistons,placed on IL with torn labrum in right hip,,activated from IL
2680,2021-04-02,Raptors,,Kyle Lowry,placed on IL with right foot injury
2681,2021-04-02,Raptors,,Rodney Hood,placed on IL with right hip flexor injury
2682,2021-04-02,Timberwolves,Josh Okogie,,activated from IL
2683,2021-04-02,Warriors,Eric Paschall,,activated from IL
2684,2021-04-02,Wizards,Davis Bertans,,activated from IL
2685,2021-04-02,Wizards,Ishmael Smith / Ish Smith,,activated from IL
2686,2021-04-03,76ers,Joel Embiid,,activated from IL
2687,2021-04-03,Blazers,,Keljin Blevins,placed on IL
2688,2021-04-03,Blazers,Nassir Little,,activated from IL
2689,2021-04-03,Bucks,,Giannis Antetokounmpo,placed on IL with sore left knee
2690,2021-04-03,Cavaliers,,Dylan Windler,placed on IL with surgery on left knee (out for season)
2691,2021-04-03,Celtics,Romeo Langford,,activated from IL
2692,2021-04-03,Hornets,,Gordon Hayward,placed on IL with sprained right foot
2693,2021-04-03,Jazz,,Elijah Hughes,placed on IL with illness
2694,2021-04-03,Jazz,,Mike Conley Jr.,placed on IL with right hamstring injury
2695,2021-04-03,Pacers,,Domantas Sabonis / Domas Sabonis,placed on IL with sprained left ankle
2696,2021-04-03,Pacers,,Malcolm Brogdon,placed on IL with right hip injury
2697,2021-04-03,Pistons,Killian Hayes,,activated from IL
2698,2021-04-03,Timberwolves,,Malik Beasley,placed on IL with left hamstring injury (out for season)
2699,2021-04-03,Warriors,,Eric Paschall,placed on IL with left hip flexor injury
2700,2021-04-03,Wizards,,Rui Hachimura,placed on IL with right shoulder injury
2701,2021-04-04,76ers,,Joel Embiid,placed on IL with left knee injury
2702,2021-04-04,Bulls,,Coby White,placed on IL with NBA health and safety protocols
2703,2021-04-04,Clippers,Rajon Rondo,,activated from IL
2704,2021-04-04,Hawks,Trae Young,,activated from IL
2705,2021-04-04,Nets,Blake Griffin,,activated from IL
2706,2021-04-04,Nuggets,Monte Morris,,activated from IL
2707,2021-04-04,Pelicans,,Isaiah Thomas,placed on IL with NBA health and safety protocols
2708,2021-04-04,Pelicans,,Kira Lewis Jr.,placed on IL with strained right calf
2709,2021-04-04,Pelicans,Lonzo Ball,,activated from IL
2710,2021-04-04,Thunder,,Josh Hall,placed on IL with concussion
2711,2021-04-04,Rockets,John Wall (Hildred),,activated from IL
2712,2021-04-04,Rockets,,Armoni Brooks,placed on IL with NBA health and safety protocols
2713,2021-04-05,76ers,Joel Embiid,,activated from IL
2714,2021-04-05,Bulls,,Daniel Theis,placed on IL with NBA health and safety protocols
2715,2021-04-05,Celtics,Semi Ojeleye,,activated from IL
2716,2021-04-05,Grizzlies,,De'Anthony Melton,placed on IL with left leg injury
2717,2021-04-05,Jazz,Mike Conley Jr.,,activated from IL
2718,2021-04-05,Kings,Hassan Whiteside,,activated from IL
2719,2021-04-05,Nets,,Blake Griffin,placed on IL with left knee injury
2720,2021-04-05,Nets,,Landry Shamet,placed on IL with sprained right ankle
2721,2021-04-05,Nets,,Tyler Johnson,placed on IL with sore right knee
2722,2021-04-05,Nets,James Harden,,activated from IL
2723,2021-04-05,Pelicans,Isaiah Thomas,,activated from IL
2724,2021-04-05,Pistons,,Mason Plumlee,placed on IL
2725,2021-04-05,Raptors,,Fred VanVleet,placed on IL with left hip flexor injury
2726,2021-04-05,Spurs,Gorgui Dieng,,activated from IL
2727,2021-04-05,Timberwolves,,Jaylen Nowell,placed on IL with tibia injury
2728,2021-04-05,Timberwolves,D'Angelo Russell,,activated from IL
2729,2021-04-06,Bulls,Coby White,,activated from IL
2730,2021-04-06,Celtics,,Evan Fournier,placed on IL with NBA health and safety protocols
2731,2021-04-06,Clippers,Patrick Beverley,,activated from IL
2732,2021-04-06,Grizzlies,,Brandon Clarke,placed on IL with left calf injury
2733,2021-04-06,Nets,,James Harden,placed on IL with strained right hamstring
2734,2021-04-06,Nuggets,,Jamal Murray,placed on IL with sore right knee
2735,2021-04-06,Pacers,Jeremy Lamb,,activated from IL
2736,2021-04-06,Pelicans,,Nickeil Alexander-Walker,placed on IL with high left ankle sprain
2737,2021-04-06,Pelicans,Zion Williamson,,activated from IL
2738,2021-04-06,Pistons,,Killian Hayes,placed on IL with right hip injury
2739,2021-04-06,Pistons,Mason Plumlee,,activated from IL
2740,2021-04-06,Suns,Frank Kaminsky,,activated from IL
2741,2021-04-07,Bulls,Daniel Theis,,activated from IL
2742,2021-04-07,Celtics,,Kemba Walker,placed on IL with left knee injury
2743,2021-04-07,Celtics,Tristan Thompson,,activated from IL
2744,2021-04-07,Hawks,,Clint Capela,placed on IL with left Achilles injury
2745,2021-04-07,Magic,,Karim Mane,placed on IL with right hamstring injury
2746,2021-04-07,Magic,,Otto Porter Jr.,placed on IL with left foot injury (out for season)
2747,2021-04-07,Magic,Cole Anthony,,activated from IL
2748,2021-04-07,Mavericks,,Trey Burke,placed on IL with strained left calf
2749,2021-04-07,Nets,Blake Griffin,,activated from IL
2750,2021-04-07,Nets,Kevin Durant,,activated from IL
2751,2021-04-07,Pacers,,Myles Turner,placed on IL with sprained left ankle
2752,2021-04-07,Pistons,,Jerami Grant,placed on IL with sore right knee
2753,2021-04-07,Rockets,,Danuel House,placed on IL with sprained right ankle
2754,2021-04-07,Thunder,,Isaiah Roby,placed on IL with concussion
2755,2021-04-07,Wizards,Bradley Beal,,activated from IL
2756,2021-04-07,Wizards,Rui Hachimura,,activated from IL
2757,2021-04-08,Jazz,,Jordan Clarkson,placed on IL with sprained right ankle
2758,2021-04-08,Jazz,Elijah Hughes,,activated from IL
2759,2021-04-08,Lakers,,Kyle Kuzma,placed on IL with strained left calf
2760,2021-04-08,Lakers,Andre Drummond,,activated from IL
2761,2021-04-08,Magic,Gary Harris,,activated from IL
2762,2021-04-08,Mavericks,Trey Burke,,activated from IL
2763,2021-04-08,Pistons,,Mason Plumlee,placed on IL with concussion
2764,2021-04-08,Pistons,Jahlil Okafor,,activated from IL
2765,2021-04-08,Pistons,Killian Hayes,,activated from IL
2766,2021-04-08,Rockets,,John Wall (Hildred),placed on IL with left Achilles injury
2767,2021-04-09,Celtics,Kemba Walker,,activated from IL
2768,2021-04-09,Clippers,,Patrick Beverley,placed on IL with fractured left hand
2769,2021-04-09,Clippers,,Rajon Rondo,placed on IL with right adductor injury
2770,2021-04-09,Grizzlies,,Jontay Porter,placed on IL with sore right knee
2771,2021-04-09,Grizzlies,Brandon Clarke,,activated from IL
2772,2021-04-09,Hawks,Clint Capela,,activated from IL
2773,2021-04-09,Heat,,Victor Oladipo,placed on IL with right knee injury (out for season)
2774,2021-04-09,Nets,Landry Shamet,,activated from IL
2775,2021-04-09,Pacers,Domantas Sabonis / Domas Sabonis,,activated from IL
2776,2021-04-09,Pacers,Malcolm Brogdon,,activated from IL
2777,2021-04-09,Pelicans,,Lonzo Ball,placed on IL with left hip flexor injury
2778,2021-04-09,Pelicans,Brandon Ingram,,activated from IL
2779,2021-04-09,Pelicans,Kira Lewis Jr.,,activated from IL
2780,2021-04-09,Rockets,Armoni Brooks,,activated from IL
2781,2021-04-09,Spurs,,Gorgui Dieng,placed on IL with sprained right shoulder
2782,2021-04-09,Spurs,Lonnie Walker IV,,activated from IL
2783,2021-04-09,Warriors,,Juan Toscano-Anderson,placed on IL with left elbow injury
2784,2021-04-09,Raptors,Patrick McCaw,,activated from IL
2785,2021-04-09,Nuggets,,Shaquille Harrison,placed on IL with NBA health and safety protocols
2786,2021-04-10,Jazz,Juwan Morgan,,activated from IL
2787,2021-04-10,Lakers,,Marc Gasol,placed on IL with left hamstring injury
2788,2021-04-10,Pistons,Mason Plumlee,,activated from IL
2789,2021-04-10,Raptors,Rodney Hood,,activated from IL
2790,2021-04-10,Rockets,John Wall (Hildred),,activated from IL
2791,2021-04-10,Thunder,Darius Bazley,,activated from IL
2792,2021-04-10,Thunder,Luguentz Dort,,activated from IL
2793,2021-04-10,Warriors,,Kelly Oubre Jr.,placed on IL with sore left wrist
2794,2021-04-10,Warriors,Juan Toscano-Anderson,,activated from IL
2795,2021-04-10,Wizards,,Bradley Beal,placed on IL with back injury
2796,2021-04-10,Wizards,Daniel Gafford,,activated from IL
2797,2021-04-11,Cavaliers,,Collin Sexton,placed on IL with strained left groin
2798,2021-04-11,Clippers,,Kawhi Leonard,placed on IL with sore right foot
2799,2021-04-11,Clippers,Rajon Rondo,,activated from IL
2800,2021-04-11,Hawks,,Tony Snell,placed on IL with sprained right ankle
2801,2021-04-11,Mavericks,Willie Cauley-Stein,,activated from IL
2802,2021-04-11,Nets,,LaMarcus Aldridge,placed on IL with irregular heartbeat
2803,2021-04-11,Pistons,,Dennis Smith Jr.,placed on IL with left knee injury (out for season)
2804,2021-04-11,Pistons,,Killian Hayes,placed on IL with right hip injury
2805,2021-04-11,Raptors,Kyle Lowry,,activated from IL
2806,2021-04-11,Rockets,,Sterling Brown,placed on IL with sore left knee (out for season)
2807,2021-04-11,Spurs,Keita Bates-Diop,,activated from IL
2808,2021-04-11,Timberwolves,Jaylen Nowell,,activated from IL
2809,2021-04-11,Warriors,,James Wiseman,placed on IL with torn meniscus in right knee (out for season)
2810,2021-04-12,Kings,,Buddy Hield,placed on IL with illness
2811,2021-04-12,Lakers,,Alfonzo McKinnie,placed on IL with NBA health and safety protocols
2812,2021-04-12,Lakers,Kyle Kuzma,,activated from IL
2813,2021-04-12,Lakers,Marc Gasol,,activated from IL
2814,2021-04-12,Magic,,Gary Harris,placed on IL with strained left adductor
2815,2021-04-12,Magic,Karim Mane,,activated from IL
2816,2021-04-12,Mavericks,,Kristaps Porzingis,placed on IL with right knee injury
2817,2021-04-12,Mavericks,J.J. Redick,,activated from IL
2818,2021-04-12,Nuggets,Jamal Murray,,activated from IL
2819,2021-04-12,Thunder,,Aleksej Pokusevski,placed on IL with sore right arm
2820,2021-04-12,Thunder,,Gabriel Deck,placed on IL with NBA health and safety protocols
2821,2021-04-12,Wizards,Bradley Beal,,activated from IL
2822,2021-04-12,Warriors,Kelly Oubre Jr.,,activated from IL
2823,2021-04-12,76ers,,Anthony Tolliver,placed on IL with NBA health and safety protocols
2824,2021-04-13,Cavaliers,Jarrett Allen,,activated from IL
2825,2021-04-13,Cavaliers,Larry Nance Jr.,,activated from IL
2826,2021-04-13,Grizzlies,Jontay Porter,,activated from IL
2827,2021-04-13,Heat,K.Z. Okpala,,activated from IL
2828,2021-04-13,Hornets,,P.J. Washington,placed on IL with sprained right ankle
2829,2021-04-13,Hornets,,Terry Rozier,placed on IL with left knee tendinitis
2830,2021-04-13,Jazz,,Joe Ingles,placed on IL with sore left knee
2831,2021-04-13,Lakers,Alfonzo McKinnie,,activated from IL
2832,2021-04-13,Mavericks,Kristaps Porzingis,,activated from IL
2833,2021-04-13,Nuggets,,Jamal Murray,placed on IL with torn ACL in left knee (out for season)
2834,2021-04-13,Pistons,Jerami Grant,,activated from IL
2835,2021-04-13,Pistons,Killian Hayes,,activated from IL
2836,2021-04-13,Raptors,,DeAndre' Bembry / DeAndre Bembry,placed on IL with right hamstring injury
2837,2021-04-13,Thunder,,Mike Muscala,placed on IL with sprained right ankle (out for season)
2838,2021-04-13,Thunder,Isaiah Roby,,activated from IL
2839,2021-04-13,Thunder,Josh Hall,,activated from IL
2840,2021-04-14,76ers,Anthony Tolliver,,activated from IL
2841,2021-04-14,Bucks,P.J. Tucker,,activated from IL
2842,2021-04-14,Bulls,Garrett Temple,,activated from IL
2843,2021-04-14,Cavaliers,,Damyean Dotson,placed on IL with sore left knee
2844,2021-04-14,Hornets,,Nate Darling,placed on IL with sprained right ankle
2845,2021-04-14,Hornets,Terry Rozier,,activated from IL
2846,2021-04-14,Kings,,Richaun Holmes,placed on IL with strained right hamstring
2847,2021-04-14,Kings,Buddy Hield,,activated from IL
2848,2021-04-14,Magic,,Mohamed Bamba / Mo Bamba,placed on IL with bruised left hip
2849,2021-04-14,Magic,Gary Harris,,activated from IL
2850,2021-04-14,Nets,,Chris Chiozza,placed on IL with fractured right hand
2851,2021-04-14,Pacers,,Doug McDermott,placed on IL with sprained left ankle
2852,2021-04-14,Raptors,,Gary Trent Jr.,placed on IL with sore right ankle
2853,2021-04-14,Raptors,Fred VanVleet,,activated from IL
2854,2021-04-14,Raptors,Paul Watson,,activated from IL
2855,2021-04-14,Rockets,,D.J. Augustine,placed on IL with sprained left ankle
2856,2021-04-14,Rockets,Danuel House,,activated from IL
2857,2021-04-14,Thunder,,Luguentz Dort,placed on IL with sore left shoulder
2858,2021-04-15,Bucks,,Donte DiVincenzo,placed on IL with toe injury
2859,2021-04-15,Bucks,Giannis Antetokounmpo,,activated from IL
2860,2021-04-15,Bulls,,Zach LaVine,placed on IL with NBA health and safety protocols
2861,2021-04-15,Cavaliers,Collin Sexton,,activated from IL
2862,2021-04-15,Celtics,,Robert Williams III,placed on IL with sore left knee
2863,2021-04-15,Hornets,,Devonte' Graham,placed on IL with bruised left quadricep
2864,2021-04-15,Lakers,,Andre Drummond,placed on IL with toe injury
2865,2021-04-15,Lakers,,Markieff Morris,placed on IL with sprained left ankle
2866,2021-04-15,Nuggets,Shaquille Harrison,,activated from IL
2867,2021-04-15,Pistons,,Cory Joseph,placed on IL with sore left ankle
2868,2021-04-15,Thunder,,Josh Hall,placed on IL with knee injury
2869,2021-04-15,Thunder,Luguentz Dort,,activated from IL
2870,2021-04-15,Nets,LaMarcus Aldridge,,activated from IL
2871,2021-04-16,76ers,,Dwight Howard,placed on IL with sore left knee
2872,2021-04-16,76ers,,Tobias Harris,placed on IL with sore right knee
2873,2021-04-16,Bulls,,Tomas Satoransky,placed on IL with illness
2874,2021-04-16,Grizzlies,,Brandon Clarke,placed on IL with right hip injury
2875,2021-04-16,Jazz,,Derrick Favors,placed on IL with sore right knee
2876,2021-04-16,Jazz,Joe Ingles,,activated from IL
2877,2021-04-16,Jazz,Jordan Clarkson,,activated from IL
2878,2021-04-16,Knicks,,Alec Burks,placed on IL with NBA health and safety protocols
2879,2021-04-16,Magic,,Michael Carter-Williams,placed on IL with sprained left ankle (out for season)
2880,2021-04-16,Pacers,,JaKarr Sampson,placed on IL with sore lower back
2881,2021-04-16,Pelicans,Lonzo Ball,,activated from IL
2882,2021-04-16,Pistons,,Jerami Grant,placed on IL with sore right knee
2883,2021-04-16,Raptors,,Ogugua Anunoby / O.G. Anunoby,placed on IL with right knee injury
2884,2021-04-16,Raptors,DeAndre' Bembry / DeAndre Bembry,,activated from IL
2885,2021-04-16,Spurs,Gorgui Dieng,,activated from IL
2886,2021-04-16,Timberwolves,,Jaylen Nowell,placed on IL with tibia injury
2887,2021-04-17,Bulls,Tomas Satoransky,,activated from IL
2888,2021-04-17,Celtics,,Jaylen Brown,placed on IL with illness
2889,2021-04-17,Jazz,,Donovan Mitchell,placed on IL with sprained right ankle
2890,2021-04-17,Jazz,,Mike Conley Jr.,placed on IL with sore right knee
2891,2021-04-17,Jazz,,Rudy Gobert,placed on IL with bruised right knee
2892,2021-04-17,Lakers,Andre Drummond,,activated from IL
2893,2021-04-17,Lakers,Markieff Morris,,activated from IL
2894,2021-04-17,Pacers,JaKarr Sampson,,activated from IL
2895,2021-04-17,Pistons,,Killian Hayes,placed on IL with right hip injury
2896,2021-04-17,Pistons,,Sekou Doumbouya,placed on IL with sore neck
2897,2021-04-17,Pistons,Cory Joseph,,activated from IL
2898,2021-04-17,Pistons,Jerami Grant,,activated from IL
2899,2021-04-18,Clippers,Kawhi Leonard,,activated from IL
2900,2021-04-18,Grizzlies,,Jonas Valanciunas,placed on IL with concussion
2901,2021-04-18,Hawks,,Danilo Gallinari,placed on IL with sore right foot
2902,2021-04-18,Hawks,John Collins (Martin),,activated from IL
2903,2021-04-18,Hornets,P.J. Washington,,activated from IL
2904,2021-04-18,Kings,,Robert Woodard II,placed on IL with sore lower back
2905,2021-04-18,Magic,,James Ennis,placed on IL with right calf injury
2906,2021-04-18,Magic,Mohamed Bamba / Mo Bamba,,activated from IL
2907,2021-04-18,Pacers,Myles Turner,,activated from IL
2908,2021-04-18,Pistons,,Cory Joseph,placed on IL with bronchitis
2909,2021-04-18,Pistons,,Jerami Grant,placed on IL with bruised left quadricep
2910,2021-04-18,Pistons,,Sekou Doumbouya,placed on IL with concussion
2911,2021-04-18,Raptors,,Fred VanVleet,placed on IL with left hip flexor injury
2912,2021-04-18,Raptors,,Pascal Siakam,placed on IL with left shoulder inflammation
2913,2021-04-18,Raptors,Gary Trent Jr.,,activated from IL
2914,2021-04-18,Thunder,Aleksej Pokusevski,,activated from IL
2915,2021-04-18,Wizards,,Rui Hachimura,placed on IL with sore left knee
2916,2021-04-19,76ers,,Ben Simmons,placed on IL with illness
2917,2021-04-19,76ers,Dwight Howard,,activated from IL
2918,2021-04-19,76ers,George Hill,,activated from IL
2919,2021-04-19,Bucks,Donte DiVincenzo,,activated from IL
2920,2021-04-19,Celtics,,Kemba Walker,placed on IL with illness
2921,2021-04-19,Celtics,Jaylen Brown,,activated from IL
2922,2021-04-19,Grizzlies,,Dillon Brooks,placed on IL with left thigh injury
2923,2021-04-19,Grizzlies,Brandon Clarke,,activated from IL
2924,2021-04-19,Grizzlies,De'Anthony Melton,,activated from IL
2925,2021-04-19,Grizzlies,Justise Winslow,,activated from IL
2926,2021-04-19,Jazz,,Ersan Ilyasova,placed on IL with left hamstring injury
2927,2021-04-19,Jazz,Derrick Favors,,activated from IL
2928,2021-04-19,Jazz,Mike Conley Jr.,,activated from IL
2929,2021-04-19,Jazz,Rudy Gobert,,activated from IL
2930,2021-04-19,Nets,,Nicolas Claxton,placed on IL with NBA health and safety protocols
2931,2021-04-19,Nets,,Reggie Perry,placed on IL with NBA health and safety protocols
2932,2021-04-19,Nuggets,,Monte Morris,placed on IL with strained right hamstring
2933,2021-04-19,Pacers,,Domantas Sabonis / Domas Sabonis,placed on IL with lower back injury
2934,2021-04-19,Pacers,,Jeremy Lamb,placed on IL with sore left knee (out for season)
2935,2021-04-19,Pacers,,Myles Turner,placed on IL with right big toe injury (out for season)
2936,2021-04-19,Pacers,Doug McDermott,,activated from IL
2937,2021-04-19,Pistons,Killian Hayes,,activated from IL
2938,2021-04-19,Thunder,,Luguentz Dort,placed on IL with strained right hip
2939,2021-04-20,Clippers,,Kawhi Leonard,placed on IL with sore right foot
2940,2021-04-20,Hornets,Devonte' Graham,,activated from IL
2941,2021-04-20,Pelicans,,James Johnson,placed on IL with strained right adductor
2942,2021-04-20,Pistons,Cory Joseph,,activated from IL
2943,2021-04-20,Pistons,Jerami Grant,,activated from IL
2944,2021-04-20,Pistons,Sekou Doumbouya,,activated from IL
2945,2021-04-20,Raptors,,Paul Watson,placed on IL with left knee tendinitis (out for season)
2946,2021-04-20,Raptors,,Rodney Hood,placed on IL with right knee tendinitis
2947,2021-04-20,Raptors,Fred VanVleet,,activated from IL
2948,2021-04-20,Raptors,Ogugua Anunoby / O.G. Anunoby,,activated from IL
2949,2021-04-20,Raptors,Pascal Siakam,,activated from IL
2950,2021-04-21,Blazers,,Derrick Jones Jr.,placed on IL with bruised right hip
2951,2021-04-21,Blazers,,Keljin Blevins,placed on IL with NBA health and safety protocols
2952,2021-04-21,Bulls,,Troy Brown Jr.,placed on IL with sprained left ankle (out for season)
2953,2021-04-21,Grizzlies,Dillon Brooks,,activated from IL
2954,2021-04-21,Grizzlies,Jaren Jackson Jr.,,activated from IL
2955,2021-04-21,Jazz,Ersan Ilyasova,,activated from IL
2956,2021-04-21,Nets,Reggie Perry,,activated from IL
2957,2021-04-21,Pacers,,Doug McDermott,placed on IL with sprained left ankle
2958,2021-04-21,Pistons,,Killian Hayes,placed on IL with right hip injury
2959,2021-04-21,Rockets,,Kevin Porter Jr.,placed on IL with NBA health and safety protocols
2960,2021-04-21,Rockets,D.J. Augustine,,activated from IL
2961,2021-04-22,76ers,,Furkan Korkmaz,placed on IL with sprained right ankle
2962,2021-04-22,76ers,Tobias Harris,,activated from IL
2963,2021-04-22,Bucks,,Justin Jackson (Aaron),placed on IL
2964,2021-04-22,Celtics,,Jaylen Brown,placed on IL with bursitis in left shoulder
2965,2021-04-22,Celtics,Kemba Walker,,activated from IL
2966,2021-04-22,Hawks,,Trae Young,placed on IL with sprained left ankle
2967,2021-04-22,Lakers,Anthony Davis,,activated from IL
2968,2021-04-22,Magic,,Terrence Ross,placed on IL with back spasms (out for season)
2969,2021-04-22,Mavericks,,Maximilian Kleber / Maxi Kleber,placed on IL with bruised lower back
2970,2021-04-22,Pistons,,Cory Joseph,placed on IL with left ankle injury
2971,2021-04-22,Pistons,,Jerami Grant,placed on IL with bruised left quadricep
2972,2021-04-22,Pistons,Killian Hayes,,activated from IL
2973,2021-04-22,Warriors,,Damion Lee,placed on IL with NBA health and safety protocols (out for season)
2974,2021-04-22,Wizards,,Deni Avdija,placed on IL with fractured right ankle (out for season)
2975,2021-04-23,Blazers,Keljin Blevins,,activated from IL
2976,2021-04-23,Blazers,placed on IL with bruised right hip,,activated from IL
2977,2021-04-23,Cavaliers,,Taurean Prince,placed on IL with surgery on left ankle (out for season)
2978,2021-04-23,Celtics,,Kemba Walker,placed on IL with left knee injury
2979,2021-04-23,Celtics,Evan Fournier,,activated from IL
2980,2021-04-23,Clippers,,Rajon Rondo,placed on IL with right wrist injury
2981,2021-04-23,Hawks,Danilo Gallinari,,activated from IL
2982,2021-04-23,Kings,,De'Aaron Fox,placed on IL with NBA health and safety protocols (out for season)
2983,2021-04-23,Nets,,Alize Johnson,placed on IL with NBA health and safety protocols
2984,2021-04-23,Raptors,,Chris Boucher,placed on IL with sprained MCL in left knee
2985,2021-04-23,Thunder,Luguentz Dort,,activated from IL
2986,2021-04-23,Warriors,,Kent Bazemore,placed on IL with NBA health and safety protocols
2987,2021-04-23,Warriors,Eric Paschall,,activated from IL
2988,2021-04-24,76ers,,Paul Reed,placed on IL with NBA health and safety protocols
2989,2021-04-24,Cavaliers,,Collin Sexton,placed on IL with concussion
2990,2021-04-24,Celtics,Jaylen Brown,,activated from IL
2991,2021-04-24,Grizzlies,,Jaren Jackson Jr.,placed on IL with left knee injury
2992,2021-04-24,Mavericks,,Josh Richardson,placed on IL with tightness in right hamstring
2993,2021-04-24,Mavericks,Maximilian Kleber / Maxi Kleber,,activated from IL
2994,2021-04-24,Nuggets,,Will Barton,placed on IL with strained right hamstring
2995,2021-04-24,Pacers,,Goga Bitadze,placed on IL with sprained left ankle
2996,2021-04-24,Pacers,Doug McDermott,,activated from IL
2997,2021-04-24,Pistons,Cory Joseph,,activated from IL
2998,2021-04-24,Pistons,Jerami Grant,,activated from IL
2999,2021-04-24,Spurs,,Rudy Gay,placed on IL with sore lower back
3000,2021-04-24,Timberwolves,Jaylen Nowell,,activated from IL
3001,2021-04-24,Knicks,,Myles Powell,placed on IL with NBA health and safety protocols
3002,2021-04-24,Knicks,Myles Powell,,activated from IL
3003,2021-04-25,Bucks,,P.J. Tucker,placed on IL with sore left ankle
3004,2021-04-25,Bucks,,Rodions Kurucs,placed on IL with biceps injury
3005,2021-04-25,Bucks,Justin Jackson (Aaron),,activated from IL
