,Date,Team,Acquired,Relinquished,Notes
1266,2021-03-11,Hornets,Devonte' Graham,,returned to lineup
1267,2021-03-11,Magic,,Terrence Ross,sore left knee (DTD)
1268,2021-03-11,Mavericks,,Kristaps Porzingis,right knee injury (DTD)
1269,2021-03-11,Mavericks,,Luka Doncic,right ankle injury (DTD)
1270,2021-03-11,Pelicans,Zion Williamson,,returned to lineup
1271,2021-03-11,Rockets,Eric Gordon,,returned to lineup
1272,2021-03-11,Spurs,,DeMar DeRozan,placed on IL for personal reasons
1273,2021-03-11,Timberwolves,,Jarrett Culver,left big toe injury (DTD)
1274,2021-03-12,Jazz,,Trent Forrest,illness (DTD)
1275,2021-03-12,Magic,,Aaron Gordon,left ankle injury (DTD)
1276,2021-03-12,Nuggets,,Zeke Nnaji,stomach illness (DTD)
1277,2021-03-12,Pistons,,Dennis Smith Jr.,NBA health and safety protocols (DTD)
1278,2021-03-12,Rockets,,Victor Oladipo,right quadricep injury (DTD)
1279,2021-03-12,Rockets,David Nwaba,,returned to lineup
1280,2021-03-13,Lakers,,Alex Caruso,concussion (DTD)
1281,2021-03-13,Mavericks,,James Johnson,placed on IL for personal reasons
1282,2021-03-13,Mavericks,Kristaps Porzingis,,returned to lineup
1283,2021-03-13,Mavericks,Luka Doncic,,returned to lineup
1284,2021-03-13,Nuggets,Zeke Nnaji,,returned to lineup
1285,2021-03-13,Pacers,,Jeremy Lamb,sore left knee (DTD)
1286,2021-03-13,Rockets,Victor Oladipo,,returned to lineup
1287,2021-03-13,Wizards,,Bradley Beal,sore left knee (DTD)
1288,2021-03-13,Wizards,,Davis Bertans,right calf injury (DTD)
1289,2021-03-14,Jazz,Trent Forrest,,returned to lineup
1290,2021-03-14,Magic,Terrence Ross,,returned to lineup
1291,2021-03-14,Thunder,,Luguentz Dort,left big toe injury (DTD)
1292,2021-03-14,Thunder,,Theo Maledon,sprained right ankle (DTD)
1293,2021-03-14,Timberwolves,,Jaden McDaniels,NBA health and safety protocols (DTD)
1294,2021-03-14,Wizards,Bradley Beal,,returned to lineup
1295,2021-03-15,Suns,,Abdel Nader,sore right knee (DTD)
1296,2021-03-15,Thunder,Theo Maledon,,returned to lineup
1297,2021-03-15,Timberwolves,Jaden McDaniels,,returned to lineup
1298,2021-03-15,Wizards,Davis Bertans,,returned to lineup
1299,2021-03-16,Heat,Edrice Adebayo / Bam Adebayo,,returned to lineup
1300,2021-03-16,Rockets,,Ben McLemore,sprained left ankle (DTD)
1301,2021-03-17,Heat,,Andre Iguodala,sore left hip (DTD)
1302,2021-03-17,Heat,,Maurice Harkless / Moe Harkless,illness (DTD)
1303,2021-03-17,Mavericks,,Dorian Finney-Smith,placed on IL for personal reasons
1304,2021-03-17,Mavericks,,Tyrell Terry,placed on IL for personal reasons
1305,2021-03-17,Nets,,Kyrie Irving,right groin injury (DTD)
1306,2021-03-17,Pistons,,Rodney McGruder,sprained right elbow (DTD)
1307,2021-03-17,Pistons,Dennis Smith Jr.,,returned to lineup
1308,2021-03-17,Rockets,,Victor Oladipo,right quadricep injury (DTD)
1309,2021-03-17,Rockets,Danuel House,,returned to lineup
1310,2021-03-17,Thunder,,Meyers Leonard,NBA health and safety protocols (DTD)
1311,2021-03-18,Heat,Maurice Harkless / Moe Harkless,,returned to lineup
1312,2021-03-18,Lakers,Alex Caruso,,returned to lineup
1313,2021-03-18,Magic,,Michael Carter-Williams,illness (DTD)
1314,2021-03-18,Magic,,Terrence Ross,sore right knee (DTD)
1315,2021-03-18,Magic,Aaron Gordon,,returned to lineup
1316,2021-03-18,Suns,Abdel Nader,,returned to lineup
1317,2021-03-18,Thunder,Luguentz Dort,,returned to lineup
1318,2021-03-19,Heat,,Udonis Haslem,NBA health and safety protocols (DTD)
1319,2021-03-19,Nets,Kyrie Irving,,returned to lineup
1320,2021-03-19,Rockets,Ben McLemore,,returned to lineup
1321,2021-03-19,Rockets,John Wall (Hildred),,returned to lineup
1322,2021-03-19,Rockets,Victor Oladipo,,returned to lineup
1323,2021-03-19,Spurs,,Lonnie Walker IV,undisclosed (DTD)
1324,2021-03-19,Spurs,DeMar DeRozan,,activated from IL
1325,2021-03-19,Warriors,,Stephen Curry,bruised tailbone (DTD)
1326,2021-03-20,76ers,,Ben Simmons,sore left knee (DTD)
1327,2021-03-20,Mavericks,Dorian Finney-Smith,,activated from IL
1328,2021-03-20,Rockets,,David Nwaba,surgery on right wrist (out for season)
1329,2021-03-20,Spurs,Lonnie Walker IV,,returned to lineup
1330,2021-03-20,Thunder,,Shai Gilgeous-Alexander,sore right shoulder (DTD)
1331,2021-03-21,76ers,Ben Simmons,,returned to lineup
1332,2021-03-21,Heat,,Goran Dragic,lower back spasms (DTD)
1333,2021-03-21,Heat,Andre Iguodala,,returned to lineup
1334,2021-03-21,Pelicans,,Lonzo Ball,right hip flexor injury (DTD)
1335,2021-03-21,Pistons,,Sekou Doumbouya,thumb injury (DTD)
1336,2021-03-22,Celtics,,Jayson Tatum,illness (DTD)
1337,2021-03-22,Nets,,Kyrie Irving,placed on IL for personal reasons
1338,2021-03-22,Nets,,Landry Shamet,sprained right ankle (DTD)
1339,2021-03-22,Rockets,,Kevin Porter Jr.,right quadricep injury (DTD)
1340,2021-03-22,Thunder,,Luguentz Dort,left big toe injury (DTD)
1341,2021-03-22,Thunder,Shai Gilgeous-Alexander,,returned to lineup
1342,2021-03-23,Celtics,Jayson Tatum,,returned to lineup
1343,2021-03-23,Heat,,K.Z. Okpala,NBA health and safety protocols (DTD)
1344,2021-03-23,Knicks,,Derrick Rose,conditioning (DTD)
1345,2021-03-23,Mavericks,James Johnson,,activated from IL
1346,2021-03-23,Pistons,Sekou Doumbouya,,returned to lineup
1347,2021-03-23,Spurs,,Lonnie Walker IV,right wrist injury (DTD)
1348,2021-03-23,Thunder,Luguentz Dort,,returned to lineup
1349,2021-03-24,Hawks,,Rajon Rondo,right adductor injury (DTD)
1350,2021-03-24,Nets,,Blake Griffin,left knee injury (DTD)
1351,2021-03-24,Nets,,James Harden,sore neck (DTD)
1352,2021-03-24,Rockets,,Victor Oladipo,placed on IL for personal reasons
1353,2021-03-24,Spurs,,Rudy Gay,sore left foot (DTD)
1354,2021-03-24,Timberwolves,,Josh Okogie,NBA health and safety protocols (DTD)
1355,2021-03-24,Timberwolves,,Jordan McLaughlin,conditioning (DTD)
1356,2021-03-25,Clippers,,Kawhi Leonard,sore right foot (DTD)
1357,2021-03-25,Clippers,,Marcus Morris,right calf injury (DTD)
1358,2021-03-25,Heat,,Jimmy Butler,illness (DTD)
1359,2021-03-25,Kings,,Hassan Whiteside,sore right knee (DTD)
1360,2021-03-25,Knicks,,Nerlens Noel,sore right shoulder (DTD)
1361,2021-03-25,Lakers,Marc Gasol,,returned to lineup
1362,2021-03-25,Nets,Blake Griffin,,returned to lineup
1363,2021-03-25,Spurs,Rudy Gay,,returned to lineup
1364,2021-03-25,Warriors,,Draymond Green,illness (DTD)
1365,2021-03-26,Bulls,,Daniel Theis,placed on IL forpersonal reasons
1366,2021-03-26,Heat,,Nemanja Bjelica,NBA health and safety protocols (DTD)
1367,2021-03-26,Heat,,Victor Oladipo,NBA health and safety protocols (DTD)
1368,2021-03-26,Heat,Jimmy Butler,,returned to lineup
1369,2021-03-26,Kings,Hassan Whiteside,,returned to lineup
1370,2021-03-26,Nets,James Harden,,returned to lineup
1371,2021-03-26,Rockets,,Danuel House,personal reasons (DTD)
1372,2021-03-26,Timberwolves,Jordan McLaughlin,,returned to lineup
1373,2021-03-26,Warriors,Draymond Green,,returned to lineup
1374,2021-03-26,Cavaliers,Andre Drummond,,activated from IL
1375,2021-03-27,Bucks,,Donte DiVincenzo,left foot injury (DTD)
1376,2021-03-27,Bucks,,Giannis Antetokounmpo,sprained left knee (DTD)
1377,2021-03-27,Bucks,,Jrue Holiday,bruised left knee (DTD)
1378,2021-03-27,Bucks,,Khris Middleton,bruised left hip (DTD)
1379,2021-03-27,Clippers,Kawhi Leonard,,returned to lineup
1380,2021-03-27,Clippers,Marcus Morris,,returned to lineup
1381,2021-03-27,Knicks,Derrick Rose,,returned to lineup
1382,2021-03-27,Knicks,Nerlens Noel,,returned to lineup
1383,2021-03-27,Mavericks,,Kristaps Porzingis,right knee injury (DTD)
1384,2021-03-27,Rockets,,Christian Wood,sore right ankle (DTD)
1385,2021-03-27,Rockets,,Danuel House,placed on IL for personal reasons
1386,2021-03-27,Rockets,Kevin Porter Jr.,,returned to lineup
1387,2021-03-27,Thunder,,Mike Muscala,sprained right ankle (out for season)
1388,2021-03-28,Bucks,Donte DiVincenzo,,returned to lineup
1389,2021-03-28,Bucks,Giannis Antetokounmpo,,returned to lineup
1390,2021-03-28,Bucks,Jrue Holiday,,returned to lineup
1391,2021-03-28,Bucks,Khris Middleton,,returned to lineup
1392,2021-03-28,Heat,,Kendrick Nunn,sprained right ankle (DTD)
1393,2021-03-28,Heat,,Victor Oladipo,head cold (DTD)
1394,2021-03-28,Heat,Nemanja Bjelica,,returned to lineup
1395,2021-03-28,Hornets,,Malik Monk,sore right foot (DTD)
1396,2021-03-28,Mavericks,Kristaps Porzingis,,returned to lineup
1397,2021-03-28,Nets,Kyrie Irving,,activated from IL
1398,2021-03-28,Rockets,Danuel House,,activated from IL
1399,2021-03-28,Thunder,Austin Rivers,,activated from IL
1400,2021-03-29,Bulls,Daniel Theis,,activated from IL
1401,2021-03-29,Clippers,,Paul George,sore right foot (DTD)
1402,2021-03-29,Heat,Goran Dragic,,returned to lineup
1403,2021-03-29,Pistons,,Sekou Doumbouya,migraine headache (DTD)
1404,2021-03-29,Rockets,Christian Wood,,returned to lineup
1405,2021-03-30,Clippers,,Marcus Morris,right calf injury (DTD)
1406,2021-03-30,Jazz,,Donovan Mitchell,placed on IL for personal reasons
1407,2021-03-30,Magic,,Karim Mane,right hamstring injury (DTD)
1408,2021-03-31,Celtics,,Robert Williams III,illness (DTD)
1409,2021-03-31,Grizzlies,,Brandon Clarke,placed on IL for personal reasons
1410,2021-03-31,Pistons,,Wayne Ellington,right calf injury (DTD)
1411,2021-03-31,Raptors,,Kyle Lowry,right foot injury (DTD)
1412,2021-03-31,Thunder,,Ty Jerome,sprained right ankle (DTD)
1413,2021-04-01,Cavaliers,,Quinn Cook,player became a free agent
1414,2021-04-01,Celtics,Robert Williams III,,returned to lineup
1415,2021-04-01,Clippers,Marcus Morris,,returned to lineup
1416,2021-04-01,Grizzlies,Brandon Clarke,,activated from IL
1417,2021-04-01,Heat,Kendrick Nunn,,returned to lineup
1418,2021-04-01,Heat,Udonis Haslem,,returned to lineup
1419,2021-04-01,Heat,Victor Oladipo,,returned to lineup
1420,2021-04-01,Heat,Victor Oladipo,,activated from IL
1421,2021-04-01,Hornets,Malik Monk,,returned to lineup
1422,2021-04-01,Magic,,Michael Carter-Williams,illness (DTD)
1423,2021-04-01,Pistons,Wayne Ellington,,returned to lineup
1424,2021-04-02,Hawks,,Danilo Gallinari,left Achilles injury (DTD)
1425,2021-04-02,Jazz,Donovan Mitchell,,activated from IL
1426,2021-04-02,Pacers,,Malcolm Brogdon,right hip injury (DTD)
1427,2021-04-02,Pelicans,,Steven Adams,sore right ankle (DTD)
1428,2021-04-02,Thunder,Ty Jerome,,returned to lineup
1429,2021-04-02,Timberwolves,,Ricky Rubio,back spasms (DTD)
1430,2021-04-02,Warriors,,Draymond Green,finger injury (DTD)
1431,2021-04-02,Warriors,,Stephen Curry,bruised tailbone (DTD)
1432,2021-04-03,Blazers,,Derrick Jones Jr.,bruised right quadriceps (DTD)
1433,2021-04-03,Heat,,Andre Iguodala,sore left hip (DTD)
1434,2021-04-03,Magic,,Khem Birch,illness (DTD)
1435,2021-04-03,Magic,,Otto Porter Jr.,left foot injury (out for season)
1436,2021-04-03,Mavericks,,Josh Richardson,left calf injury (DTD)
1437,2021-04-03,Mavericks,,Kristaps Porzingis,right knee injury (DTD)
1438,2021-04-03,Mavericks,,Maximilian Kleber / Maxi Kleber,bruised left leg (DTD)
1439,2021-04-03,Pelicans,Steven Adams,,returned to lineup
1440,2021-04-03,Spurs,,Drew Eubanks,migraine headache (DTD)
1441,2021-04-04,76ers,,Tyrese Maxey,NBA health and safety protocols (DTD)
1442,2021-04-04,Hawks,Danilo Gallinari,,returned to lineup
1443,2021-04-04,Lakers,,Wesley Matthews / Wes Matthews Jr.,strained neck (DTD)
1444,2021-04-04,Thunder,,Isaiah Roby,concussion (DTD)
1445,2021-04-04,Warriors,Draymond Green,,returned to lineup
1446,2021-04-04,Warriors,Stephen Curry,,returned to lineup
1447,2021-04-04,Rockets,,John Wall (Hildred),left knee injury (DTD)
1448,2021-04-05,Blazers,,Jusuf Nurkic,right knee inflammation (DTD)
1449,2021-04-05,Heat,Andre Iguodala,,returned to lineup
1450,2021-04-05,Mavericks,,Kristaps Porzingis,sprained right wrist (DTD)
1451,2021-04-05,Mavericks,,Trey Burke,strained left calf (DTD)
1452,2021-04-05,Mavericks,Josh Richardson,,returned to lineup
1453,2021-04-05,Mavericks,Maximilian Kleber / Maxi Kleber,,returned to lineup
1454,2021-04-05,Rockets,,Danuel House,sprained right ankle (DTD)
1455,2021-04-05,Spurs,,Dejounte Murray,sore right foot (DTD)
1456,2021-04-05,Spurs,Drew Eubanks,,returned to lineup
1457,2021-04-05,Timberwolves,Ricky Rubio,,returned to lineup
1458,2021-04-06,76ers,Tyrese Maxey,,returned to lineup
1459,2021-04-06,Blazers,Derrick Jones Jr.,,returned to lineup
1460,2021-04-06,Bulls,,Adam Mokoka,NBA health and safety protocols (DTD)
1461,2021-04-06,Bulls,,Devon Dotson,NBA health and safety protocols (DTD)
1462,2021-04-06,Lakers,Wesley Matthews / Wes Matthews Jr.,,returned to lineup
1463,2021-04-07,Hawks,,Danilo Gallinari,sore left ankle (DTD)
1464,2021-04-07,Knicks,,John Henson,strained right calf (DTD)
1465,2021-04-07,Magic,Khem Birch,,returned to lineup
1466,2021-04-07,Magic,Michael Carter-Williams,,returned to lineup
1467,2021-04-07,Mavericks,,Maximilian Kleber / Maxi Kleber,right leg injury (DTD)
1468,2021-04-07,Mavericks,Kristaps Porzingis,,returned to lineup
1469,2021-04-07,Rockets,John Wall (Hildred),,returned to lineup
1470,2021-04-07,Spurs,Dejounte Murray,,returned to lineup
1471,2021-04-07,Thunder,,Darius Miller,strained left groin (DTD)
1472,2021-04-07,Timberwolves,,Josh Okogie,personal reasons (DTD)
1473,2021-04-08,Blazers,Jusuf Nurkic,,returned to lineup
1474,2021-04-08,Mavericks,Maximilian Kleber / Maxi Kleber,,returned to lineup
1475,2021-04-08,Thunder,Darius Miller,,returned to lineup
1476,2021-04-09,Bucks,,Brook Lopez,back injury (DTD)
1477,2021-04-09,Bucks,,Donte DiVincenzo,bruised right hip (DTD)
1478,2021-04-09,Bucks,,Jrue Holiday,bruised left knee (DTD)
1479,2021-04-09,Bucks,,Khris Middleton,sore right knee (DTD)
1480,2021-04-09,Hawks,Danilo Gallinari,,returned to lineup
1481,2021-04-09,Timberwolves,Josh Okogie,,returned to lineup
1482,2021-04-10,76ers,,Danny Green,sore left hip (DTD)
1483,2021-04-10,76ers,,Tobias Harris,sore right knee (DTD)
1484,2021-04-10,Lakers,,Wesley Matthews / Wes Matthews Jr.,right Achilles injury (DTD)
1485,2021-04-11,76ers,Danny Green,,returned to lineup
1486,2021-04-11,76ers,Tobias Harris,,returned to lineup
1487,2021-04-11,Bucks,Brook Lopez,,returned to lineup
1488,2021-04-11,Bucks,Donte DiVincenzo,,returned to lineup
1489,2021-04-11,Bucks,Jrue Holiday,,returned to lineup
1490,2021-04-11,Bucks,Khris Middleton,,returned to lineup
1491,2021-04-11,Cavaliers,,Damyean Dotson,sore left knee (DTD)
1492,2021-04-11,Cavaliers,,Darius Garland,sprained right ankle (DTD)
1493,2021-04-11,Hawks,,Danilo Gallinari,sore right foot (DTD)
1494,2021-04-11,Hawks,,Trae Young,bruised left calf (DTD)
1495,2021-04-11,Jazz,,Mike Conley Jr.,right hamstring injury (DTD)
1496,2021-04-11,Magic,,Chuma Okeke,right hip injury (DTD)
1497,2021-04-11,Mavericks,,Maximilian Kleber / Maxi Kleber,right leg injury (DTD)
1498,2021-04-11,Nets,,Kyrie Irving,placed on IL for personal reasons
1499,2021-04-12,Lakers,Wesley Matthews / Wes Matthews Jr.,,returned to lineup
1500,2021-04-12,Magic,Chuma Okeke,,returned to lineup
1501,2021-04-12,Mavericks,Maximilian Kleber / Maxi Kleber,,returned to lineup
1502,2021-04-12,Timberwolves,,Karl-Anthony Towns,placed on IL for personal reasons
1503,2021-04-12,Warriors,,Kelly Oubre Jr.,sore left wrist (DTD)
1504,2021-04-13,Jazz,Mike Conley Jr.,,returned to lineup
1505,2021-04-13,Lakers,,Markieff Morris,sprained left ankle (DTD)
1506,2021-04-14,76ers,,Dwight Howard,sore left knee (DTD)
1507,2021-04-14,Cavaliers,Darius Garland,,returned to lineup
1508,2021-04-14,Heat,,Goran Dragic,lower back spasms (DTD)
1509,2021-04-14,Knicks,,Nerlens Noel,sore right ankle (DTD)
1510,2021-04-14,Nets,,Blake Griffin,left knee injury (DTD)
1511,2021-04-14,Nets,,Kevin Durant,left hamstring injury (DTD)
1512,2021-04-14,Nets,Kyrie Irving,,activated from IL
1513,2021-04-15,Hawks,Trae Young,,returned to lineup
1514,2021-04-15,Timberwolves,Karl-Anthony Towns,,activated from IL
1515,2021-04-15,Knicks,John Henson,,returned to lineup
1516,2021-04-16,76ers,,Seth Curry,left hip flexor injury (DTD)
1517,2021-04-16,Blazers,,Damian Lillard,right hamstring injury (DTD)
1518,2021-04-16,Heat,,Andre Iguodala,sore left hip (DTD)
1519,2021-04-16,Heat,Goran Dragic,,returned to lineup
1520,2021-04-16,Knicks,Nerlens Noel,,returned to lineup
1521,2021-04-16,Nets,Blake Griffin,,returned to lineup
1522,2021-04-16,Nets,Kevin Durant,,returned to lineup
1523,2021-04-16,Pistons,,Hamidou Diallo,right knee inflammation (DTD)
1524,2021-04-16,Wizards,,Davis Bertans,placed on IL for personal reasons
1525,2021-04-17,Rockets,,John Wall (Hildred),left Achilles injury (DTD)
1526,2021-04-18,Cavaliers,,Larry Nance Jr.,placed on IL for personal reasons
1527,2021-04-18,Heat,,Jimmy Butler,sprained right ankle (DTD)
1528,2021-04-18,Heat,Andre Iguodala,,returned to lineup
1529,2021-04-18,Magic,,Terrence Ross,back spasms (out for season)
1530,2021-04-18,Warriors,,Juan Toscano-Anderson,concussion (DTD)
1531,2021-04-18,Wizards,Davis Bertans,,activated from IL
1532,2021-04-19,76ers,Seth Curry,,returned to lineup
1533,2021-04-19,Blazers,,Jusuf Nurkic,right knee injury (DTD)
1534,2021-04-19,Celtics,,Marcus Smart,illness (DTD)
1535,2021-04-19,Heat,,Edrice Adebayo / Bam Adebayo,sore right knee (DTD)
1536,2021-04-19,Heat,,Tyler Herro,sore right foot (DTD)
1537,2021-04-19,Nets,,Kevin Durant,bruised left thigh (DTD)
1538,2021-04-19,Pistons,Hamidou Diallo,,returned to lineup
1539,2021-04-19,Rockets,John Wall (Hildred),,returned to lineup
1540,2021-04-19,Thunder,,Isaiah Roby,right big toe injury (DTD)
1541,2021-04-19,Warriors,Kelly Oubre Jr.,,returned to lineup
1542,2021-04-20,Cavaliers,Larry Nance Jr.,,activated from IL
1543,2021-04-21,76ers,,Seth Curry,left hip flexor injury (DTD)
1544,2021-04-21,Blazers,Damian Lillard,,returned to lineup
1545,2021-04-21,Blazers,Jusuf Nurkic,,returned to lineup
1546,2021-04-21,Cavaliers,,Dylan Windler,surgery on left knee (out for season)
1547,2021-04-21,Celtics,Marcus Smart,,returned to lineup
1548,2021-04-21,Clippers,,Rajon Rondo,right wrist injury (DTD)
1549,2021-04-21,Heat,,Andre Iguodala,sore left hip (DTD)
1550,2021-04-21,Heat,Edrice Adebayo / Bam Adebayo,,returned to lineup
1551,2021-04-21,Heat,Jimmy Butler,,returned to lineup
1552,2021-04-21,Heat,Tyler Herro,,returned to lineup
1553,2021-04-21,Pacers,,Goga Bitadze,sprained left ankle (DTD)
1554,2021-04-21,Thunder,Isaiah Roby,,returned to lineup
1555,2021-04-21,Warriors,,Damion Lee,left big toe injury (DTD)
1556,2021-04-21,Rockets,,D.J. Augustine,sprained left ankle (DTD)
1557,2021-04-22,76ers,Seth Curry,,returned to lineup
1558,2021-04-22,Heat,Andre Iguodala,,returned to lineup
1559,2021-04-22,Magic,,Wendell Carter Jr.,sore right ankle (DTD)
1560,2021-04-22,Spurs,,DeMar DeRozan,bruised right quadriceps (DTD)
1561,2021-04-22,Suns,,Jae Crowder,sprained right ankle (DTD)
1562,2021-04-23,Hawks,,Clint Capela,back injury (DTD)
1563,2021-04-23,Rockets,,Avery Bradley,illness (DTD)
1564,2021-04-23,Rockets,Danuel House,,returned to lineup
1565,2021-04-23,Warriors,Juan Toscano-Anderson,,returned to lineup
1566,2021-04-23,Warriors,,Eric Paschall,left hip flexor injury (DTD)
1567,2021-04-24,76ers,,Joel Embiid,sore right shoulder (DTD)
1568,2021-04-24,Heat,,Goran Dragic,back injury (DTD)
1569,2021-04-24,Heat,,Tyler Herro,sore right foot (DTD)
1570,2021-04-24,Lakers,,Kentavious Caldwell-Pope,sprained right ankle (DTD)
1571,2021-04-24,Mavericks,,Kristaps Porzingis,sprained left ankle (DTD)
1572,2021-04-24,Rockets,,Christian Wood,sore right ankle (DTD)
1573,2021-04-24,Rockets,,John Wall (Hildred),left Achilles injury (DTD)
1574,2021-04-24,Spurs,DeMar DeRozan,,returned to lineup
1575,2021-04-24,Suns,,Dario Saric,left ankle injury (DTD)
1576,2021-04-24,Suns,,Langston Galloway,placed on IL for personal reasons
1577,2021-04-25,Hawks,Clint Capela,,returned to lineup
1578,2021-04-25,Magic,Wendell Carter Jr.,,returned to lineup
1579,2021-04-25,Nets,Kevin Durant,,returned to lineup
1580,2021-04-26,76ers,Joel Embiid,,returned to lineup
1581,2021-04-26,Cavaliers,,Isaiah Hartenstein,concussion (DTD)
1582,2021-04-26,Heat,,Andre Iguodala,sore left hip (DTD)
1583,2021-04-26,Heat,,Kendrick Nunn,neck spasms (DTD)
1584,2021-04-26,Heat,Goran Dragic,,returned to lineup
1585,2021-04-26,Lakers,Kentavious Caldwell-Pope,,returned to lineup
1586,2021-04-26,Mavericks,,J.J. Redick,right heel injury (DTD)
1587,2021-04-26,Rockets,Christian Wood,,returned to lineup
1588,2021-04-26,Suns,,Abdel Nader,surgery on right knee (out indefinitely)
1589,2021-04-26,Thunder,,Tony Bradley,sprained left ankle (DTD)
1590,2021-04-26,Magic,,Devin Cannady,surgery on right ankle to repair fracture (out indefinitely)
1591,2021-04-27,Heat,Andre Iguodala,,returned to lineup
1592,2021-04-27,Mavericks,J.J. Redick,,returned to lineup
1593,2021-04-27,Rockets,Avery Bradley,,returned to lineup
1594,2021-04-27,Thunder,Tony Bradley,,returned to lineup
1595,2021-04-28,Hawks,,Bogdan Bogdanovic,left hamstring injury (DTD)
1596,2021-04-28,Heat,Kendrick Nunn,,returned to lineup
1597,2021-04-28,Lakers,,Alex Caruso,back spasms (DTD)
1598,2021-04-28,Pelicans,,Marcos Louzada Silva / Didi Louzada Silva,NBA health and safety protocols (DTD)
1599,2021-04-28,Pistons,,Cory Joseph,left ankle injury (DTD)
1600,2021-04-28,Suns,Langston Galloway,,activated from IL
1601,2021-04-29,Magic,,Chuma Okeke,sprained left ankle (out for season)
1602,2021-04-29,Mavericks,,Dorian Finney-Smith,left leg injury (DTD)
1603,2021-04-29,Mavericks,Kristaps Porzingis,,returned to lineup
1604,2021-04-29,Rockets,,Avery Bradley,right leg injury (DTD)
1605,2021-04-29,Rockets,,Danuel House,sore right ankle (DTD)
1606,2021-04-29,Warriors,,Kelly Oubre Jr.,sore left wrist (out indefinitely)
1607,2021-04-30,Mavericks,Dorian Finney-Smith,,returned to lineup
1608,2021-04-30,Nets,,Kevin Durant,left hamstring injury (DTD)
1609,2021-04-30,Suns,Dario Saric,,returned to lineup
1610,2021-05-01,Bulls,,Nikola Vucevic,hip injury (DTD)
1611,2021-05-01,Cavaliers,,Darius Garland,sprained left ankle (DTD)
1612,2021-05-01,Hawks,Bogdan Bogdanovic,,returned to lineup
1613,2021-05-01,Heat,,Nemanja Bjelica,stomach illness (DTD)
1614,2021-05-01,Heat,,Udonis Haslem,stomach illness (DTD)
1615,2021-05-01,Hornets,,Devonte' Graham,bruised right knee (DTD)
1616,2021-05-01,Magic,,James Ennis,right calf injury (out for season)
1617,2021-05-01,Nets,Kevin Durant,,returned to lineup
1618,2021-05-01,Pacers,,Malcolm Brogdon,sore right hamstring (out for season)
1619,2021-05-01,Pistons,,Hamidou Diallo,sore right knee (DTD)
1620,2021-05-02,Bucks,,Bobby Portis,stomach illness (DTD)
1621,2021-05-02,Heat,Nemanja Bjelica,,returned to lineup
1622,2021-05-02,Heat,Udonis Haslem,,returned to lineup
1623,2021-05-02,Hornets,Devonte' Graham,,returned to lineup
1624,2021-05-02,Raptors,,Ogugua Anunoby / O.G. Anunoby,left calf injury (out for season)
1625,2021-05-02,Rockets,,D.J. Wilson,NBA health and safety protocols (out for season)
1626,2021-05-02,Rockets,Avery Bradley,,returned to lineup
1627,2021-05-02,Suns,,Cameron Payne,bruised left knee (DTD)
1628,2021-05-03,Pistons,Hamidou Diallo,,returned to lineup
1629,2021-05-04,76ers,,Furkan Korkmaz,sprained right ankle (DTD)
1630,2021-05-04,Bucks,Bobby Portis,,returned to lineup
1631,2021-05-04,Heat,,Jimmy Butler,flu (DTD)
1632,2021-05-04,Hornets,,P.J. Washington,placed on IL for personal reasons (birth of child)
1633,2021-05-04,Mavericks,,Maximilian Kleber / Maxi Kleber,right Achilles injury (DTD)
1634,2021-05-04,Raptors,,Kyle Lowry,back injury (DTD)
1635,2021-05-04,Suns,Cameron Payne,,returned to lineup
1636,2021-05-05,Blazers,,Norman Powell,right knee injury (DTD)
1637,2021-05-05,Cavaliers,Isaiah Hartenstein,,returned to lineup
1638,2021-05-05,Hornets,P.J. Washington,,activated from IL
1639,2021-05-05,Magic,,Wendell Carter Jr.,left eye abrasion (DTD)
1640,2021-05-05,Pacers,,Edmond Sumner,bruised left knee (DTD)
1641,2021-05-05,Pistons,,Hamidou Diallo,placed on IL for personal reasons
1642,2021-05-05,Rockets,,Christian Wood,sore right ankle (out for season)
1643,2021-05-05,Rockets,,Jae'Sean Tate,NBA health and safety protocols (DTD)
1644,2021-05-05,Rockets,D.J. Augustine,,returned to lineup
1645,2021-05-06,Grizzlies,,Sean McDermott,sore left foot (out for season)
1646,2021-05-06,Pistons,Cory Joseph,,returned to lineup
1647,2021-05-06,Raptors,,Aron Baynes,bruised left foot (DTD)
1648,2021-05-06,Raptors,,Yuta Watanabe,sore right ankle (DTD)
1649,2021-05-06,Rockets,,Avery Bradley,placed on IL for personal reasons (out for season)
1650,2021-05-06,Rockets,,Kevin Porter Jr.,sprained left ankle (out for season)
1651,2021-05-06,Timberwolves,,Jaden McDaniels,placed on IL for personal reasons
1652,2021-05-07,Blazers,Norman Powell,,returned to lineup
1653,2021-05-07,Cavaliers,,Kevin Love,bruised left knee (DTD)
1654,2021-05-07,Heat,Jimmy Butler,,returned to lineup
1655,2021-05-07,Heat,Tyler Herro,,returned to lineup
1656,2021-05-07,Mavericks,,J.J. Redick,right heel injury (DTD)
1657,2021-05-07,Rockets,,Jae'Sean Tate,bruised left knee (DTD)
1658,2021-05-07,Rockets,Danuel House,,returned to lineup
1659,2021-05-07,Suns,Jae Crowder,,returned to lineup
1660,2021-05-08,Mavericks,J.J. Redick,,returned to lineup
1661,2021-05-08,Nuggets,,Aaron Gordon,right calf injury (DTD)
1662,2021-05-08,Pacers,Edmond Sumner,,returned to lineup
